01a54343	qb_song_aux_Expert
33dba914	qb_aux_Easy_Star
5ee61212	qb_aux_Medium_Star
dbab54b2	qb_aux_Hard_Star
718892e0	qb_aux_Expert_Star
92e345f3	qb_aux_Easy_StarBattleMode
a165007d	qb_aux_Medium_StarBattleMode
cd036248	qb_aux_Hard_StarBattleMode
2f1da76a	qb_aux_Expert_StarBattleMode
7b709e01	qb_aux_Easy_Tapping
20a4d9bc	qb_aux_Medium_Tapping
579251f7	qb_aux_Hard_Tapping
076daa39	qb_aux_Expert_Tapping
ef58dc58	qb_aux_Easy_WhammyController
4ceeef04	qb_aux_Medium_WhammyController
4d6341a0	qb_aux_Hard_WhammyController
01dfd3a1	qb_aux_Expert_WhammyController
a4635800	qb_aux_Easy_SoloMarkers
2743dd65	qb_aux_Medium_SoloMarkers
c30d3d8b	qb_aux_Hard_SoloMarkers
14419409	qb_aux_Expert_SoloMarkers
7cd490f0	qb_aux_FaceOffP1
e5ddc14a	qb_aux_FaceOffP2
42baa41e	qb_aux_FaceOffStar
6534d48d	qb_BossBattleP1
fc3d8537	qb_BossBattleP2
90b5dd1c	qb_timesig
e60a8c7f	qb_fretbars
27883129	qb_markers
15fb0abb	qb_scripts_notes
0d668f77	qb_anim_notes
7856c880	qb_triggers_notes
7058f5b4	qb_cameras_notes
89f1ab45	qb_lightshow_notes
22b98e46	qb_crowd_notes
7d6edc89	qb_drums_notes
b7b2f07f	qb_performance_notes
bb1f7927	qb_scripts
911cb612	qb_anim
b8c1cfee	qb_triggers
0d5ec973	qb_cameras
bb3f7059	qb_lightshow
6d58f591	qb_crowd
fd37703b	qb_drums
9034590e	qb_performance
74675b85	qb_song_drums_expertplus
95f56f32	qb_facial
9aaff0c0	qb_localized_strings
1a6e06ba	qb_scriptevents
46f2d32a	qb_song_startup
e218b6e8	qb_vox_sp
41787ed1	qb_ghost_notes
00820503	qb_double_kick
b4aa7c96	qb_guitar_markers
26e4a3a5	qb_rhythm_markers
b47721d2	qb_drum_markers
582d5173	qb_Easy_DrumFill
55d0a4c5	qb_Medium_DrumFill
0cdfe495	qb_Hard_DrumFill
c8251a19	qb_Expert_DrumFill
f2dc69e0	qb_Easy_DrumUnmute
8d946bb0	qb_Medium_DrumUnmute
41f32e7b	qb_Hard_DrumUnmute
8cc0e2dd	qb_Expert_DrumUnmute
5c9a4180	qb_vocals_freeform
45cf699d	qb_vocals_phrases
289a4a79	qb_vocals_note_range
165c7e6b	qb_vocals_markers
03818c31	qb_song_vocals
3365cf9a	qb_lyrics
50a00e1b	songs/qb.mid.qb
97f01b6c	songs/qb_song_scripts.qb
3a102ee9	songs/qb.mid.qs
c8662043	songs/qb.note
ba647305	songs/qb.perf
0e193ab8	songs/qb.perf.xml.qb
528a918e	songs/qb.qs.de
dc437947	songs/qb.qs.en
bf45159e	songs/qb.qs.es
e36f76cb	songs/qb.qs.fr
8d94cf31	songs/qb.qs.it
39120919	songs/qb_rms.qd
15b17ddb	car_female_anim_struct_qb
6df6d053	car_male_anim_struct_qb
b4d1bd51	car_female_alt_anim_struct_qb
ac7acd7a	car_male_alt_anim_struct_qb
d8b07317	zones\qb\qb.pfx
4c52fb4d	zones\qb\qb_gfx.pfx
f4948808	zones\qb\qb.tex
60760052	zones\qb\qb_gfx.tex
53558c5a	zones\qb\qb.scn
c7b70400	zones\qb\qb_gfx.scn
f54e367e	zones\qb\qb.hkc
61acbe24	zones\qb\qb_gfx.hkc
36e98081	zones\qb\qb.nqb
a20b08db	zones\qb\qb_gfx.nqb
